,Store Number,City,Total Sales,Total Sales mean,County Number,Price per Liter mean_x,Zip Code,Total Volume Sold (Liters),Total Volume Sold (Liters) mean,Total Margin mean,2015 Sales,2015 Sales mean,Price per Liter mean_y,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales,2016 Sales mean,Price per Liter mean,2016 Volume Sold (Liters),2016 Volume Sold (Liters) mean,2016 Margin mean,2016 Sales Q1
89,2594,SIOUX CITY,93561.27,104.188496659,97.0,18.7733040703,51106,6114.04,6.8085077951,34.8267483296,73663.47,101.745124309,18.8114378661,4833.67,6.67633977901,34.0193508287,13641.55,19897.8,114.355172414,18.6146324144,1280.37,7.35844827586,38.1862643678,19897.8
90,2595,DENISON,106008.11,165.121666667,24.0,18.3095960068,51442,9664.2,15.053271028,56.1869470405,76857.1,145.013396226,18.032071471,6756.82,12.7487169811,49.1648490566,10176.63,29151.01,260.276875,19.6228817568,2907.38,25.95875,89.4165178571,29151.01
91,2596,OTTUMWA,33078.79,71.5991125541,90.0,14.9710497395,52501,2996.17,6.48521645022,24.3411471861,30207.68,78.4615064935,14.8328857656,2737.63,7.11072727273,26.7224675325,5262.24,2871.11,37.2871428571,15.6618696091,258.54,3.35766233766,12.4345454545,2871.11
92,2597,CHEROKEE,22604.36,126.281340782,18.0,14.3193695132,51012,1960.7,10.9536312849,42.2982122905,18779.1,132.247183099,13.8873038229,1608.95,11.3306338028,44.3188732394,4452.34,3825.26,103.385405405,15.9775675676,351.75,9.50675675676,34.5432432432,3825.26
93,2600,OSKALOOSA,25679.42,79.9981931464,62.0,15.2348019582,52577,2145.5,6.68380062305,26.8095638629,20355.99,75.9551865672,15.0004832978,1712.25,6.38899253731,25.4817164179,3505.1,5323.43,100.442075472,16.4196585804,433.25,8.17452830189,33.5239622642,5323.43
94,2601,FAIRFIELD,70241.13,132.280847458,51.0,20.4633907464,52556,4402.35,8.2906779661,44.1798305085,55932.63,131.606188235,20.7929162703,3466.66,8.15684705882,43.9493647059,17207.46,14308.5,134.985849057,19.1421799191,935.69,8.82726415094,45.1038679245,14308.5
95,2602,WEBSTER CITY,59849.21,100.586907563,40.0,17.3188781768,50595,4638.66,7.79606722689,33.8588235294,50235.06,108.265215517,17.4205195832,3943.12,8.49810344828,36.5069827586,11573.41,9614.15,73.3904580153,16.958865867,695.54,5.30946564885,24.4790839695,9614.15
96,2603,BETTENDORF,158235.93,112.463347548,82.0,21.8767810425,52722,10030.69,7.12913290689,37.5644207534,132877.27,115.948752182,21.688430232,8458.7,7.38106457243,38.7380453752,22810.43,25358.66,97.1596168582,22.7037926473,1571.99,6.02295019157,32.4112643678,25358.66
97,2604,LEMARS,68855.37,91.078531746,75.0,18.6370756906,51031,4885.8,6.4626984127,30.4389021164,53845.76,91.1095769882,18.2960139864,3794.87,6.4210998308,30.4400507614,9936.32,15009.61,90.9673333333,19.8586967039,1090.93,6.6116969697,30.4347878788,15009.61
98,2605,CEDAR RAPIDS,115918.44,135.73587822,57.0,18.5362989191,52402,9871.71,11.5593793911,45.3480444965,95407.77,133.999676966,18.5501448341,8283.86,11.6346348315,44.7853792135,17219.72,20510.67,144.441338028,18.4668743311,1587.85,11.1820422535,48.1692957746,20510.67
99,2606,HUMBOLDT,47466.59,106.666494382,46.0,16.9742065276,50548,3506.47,7.87970786517,35.7231460674,38012.27,105.297146814,17.1187125709,2697.27,7.47166204986,35.2965096953,7821.86,9454.32,112.551428571,16.3531746032,809.2,9.63333333333,37.5566666667,9454.32
100,2607,SHENANDOAH,59403.43,131.423517699,73.0,17.1655736466,51601,4196.82,9.285,44.0689823009,47709.92,132.527555556,16.767807216,3377.63,9.38230555556,44.5015833333,12269.18,11693.51,127.103369565,18.7220509834,819.19,8.90423913043,42.3761956522,11693.51
101,2609,AMES,7925.05,52.4837748344,85.0,17.4989561652,50010,556.7,3.68675496689,17.5580794702,6466.98,53.4461157025,17.2088419913,471.9,3.9,17.8917355372,867.07,1458.07,48.6023333333,18.6690833333,84.8,2.82666666667,16.2123333333,1458.07
102,2611,OTTUMWA,46290.16,102.411858407,90.0,18.8908363069,52501,3435.68,7.6010619469,34.2122787611,36242.75,101.520308123,19.0934104608,2620.59,7.34058823529,33.9280672269,8306.95,10047.41,105.762210526,18.1295839599,815.09,8.57989473684,35.2803157895,10047.41
103,2612,PERRY,27153.2,68.916751269,25.0,14.974598584,50220,2069.7,5.25304568528,23.0111675127,22949.94,70.8331481481,14.8370265556,1754.1,5.41388888889,23.6568209877,4226.93,4203.26,60.0465714286,15.6113605442,315.6,4.50857142857,20.0227142857,4203.26
